tenure_months,usage_frequency,payment_method,complaints,discount_used_pct,plan_type,monthly_charges,churn
13,5,Card,1,48,Free,299,0
14,11,UPI,3,16,Free,199,1
3,7,Card,0,45,Basic,199,1
6,6,UPI,1,41,Free,199,0
18,5,UPI,3,29,Basic,199,1
19,10,Card,3,7,Basic,99,1
5,8,Card,0,39,Premium,299,1
15,10,COD,0,45,Free,199,0
2,9,Wallet,1,6,Free,199,0
10,10,UPI,1,5,Basic,199,0
24,9,UPI,0,3,Basic,299,0
18,9,Wallet,3,0,Free,99,1
13,11,COD,0,14,Basic,99,0
5,10,Wallet,2,30,Free,199,1
23,7,UPI,0,24,Free,199,0
24,9,COD,0,46,Basic,299,0
1,9,UPI,0,32,Free,99,1
22,2,Wallet,1,51,Premium,99,0
1,11,COD,0,34,Basic,299,1
18,9,UPI,0,54,Basic,199,0
15,5,COD,1,4,Basic,199,0
17,2,UPI,1,4,Basic,99,0
11,6,COD,0,35,Free,99,0
21,6,UPI,1,16,Premium,199,0
22,6,COD,0,52,Premium,99,0
17,8,UPI,0,51,Free,299,0
13,7,Wallet,2,13,Free,199,0
1,7,Card,0,57,Free,99,0
2,6,Card,2,28,Basic,199,1
9,8,UPI,2,7,Basic,199,0
3,9,Wallet,1,33,Premium,99,0
1,8,UPI,0,39,Basic,99,0
21,7,Card,2,0,Basic,199,0
16,12,UPI,5,28,Basic,199,1
23,8,COD,2,35,Basic,199,0
6,6,UPI,0,50,Basic,199,0
17,9,UPI,1,36,Basic,199,0
5,7,UPI,1,28,Basic,199,1
5,8,UPI,0,4,Basic,199,0
6,9,UPI,1,52,Basic,199,0
3,7,Card,1,31,Basic,99,1
21,7,Wallet,0,59,Basic,299,1
23,6,Wallet,0,51,Basic,199,1
5,7,Card,0,23,Basic,299,0
21,10,UPI,0,18,Basic,199,0
5,10,Card,1,11,Basic,99,0
10,7,UPI,0,51,Free,199,0
10,10,Wallet,1,0,Free,99,0
19,6,UPI,0,6,Basic,199,0
17,8,UPI,0,16,Basic,199,0
21,7,UPI,3,33,Premium,299,0
14,7,Wallet,0,42,Free,199,0
9,8,UPI,1,6,Free,199,0
14,9,Card,1,16,Free,99,0
1,9,UPI,0,58,Free,299,1
19,10,Wallet,3,2,Basic,299,0
13,7,COD,2,28,Free,199,0
13,4,UPI,2,21,Basic,99,0
4,6,Card,0,37,Basic,199,0
1,7,COD,1,53,Basic,99,1
17,6,Card,1,42,Premium,199,1
8,10,Card,0,28,Basic,99,0
2,7,Card,1,49,Free,199,1
8,15,Card,0,49,Premium,199,0
7,5,UPI,0,53,Premium,99,0
2,5,Wallet,1,41,Free,199,1
22,6,UPI,1,4,Free,299,0
22,8,UPI,1,29,Free,99,0
3,13,Wallet,0,22,Free,199,1
18,8,UPI,0,54,Premium,99,1
12,6,UPI,0,20,Basic,99,0
1,13,Card,1,55,Free,99,1
22,5,Wallet,0,25,Premium,199,0
12,7,Wallet,1,53,Basic,199,1
5,6,COD,0,46,Free,299,1
17,6,Wallet,2,20,Premium,199,0
16,7,UPI,0,19,Premium,99,0
15,8,UPI,1,22,Premium,199,0
23,6,Wallet,1,3,Basic,99,0
15,9,UPI,1,20,Basic,199,0
5,7,Card,1,20,Free,99,1
21,6,Card,1,0,Basic,99,0
14,6,UPI,0,14,Premium,199,0
2,6,COD,1,16,Free,299,0
11,5,Card,1,50,Basic,99,1
19,7,Card,1,13,Basic,299,0
7,4,COD,2,58,Free,99,0
6,12,Card,2,18,Basic,299,0
2,6,UPI,1,49,Free,199,1
6,10,Card,1,59,Basic,99,0
18,4,Wallet,0,33,Free,99,0
2,8,Wallet,0,5,Premium,99,1
18,2,Wallet,3,44,Free,99,1
15,6,Wallet,0,48,Free,99,0
19,9,UPI,1,5,Free,199,0
2,6,Wallet,0,52,Premium,299,1
20,10,Wallet,0,53,Basic,99,0
6,6,UPI,1,4,Basic,199,0
1,8,UPI,1,6,Basic,199,0
24,3,COD,2,32,Basic,299,0
15,5,Wallet,2,12,Free,199,0
23,11,Wallet,1,50,Basic,199,0
10,9,Wallet,1,53,Free,199,0
19,7,Card,1,0,Premium,99,0
17,8,Card,0,12,Basic,99,0
5,4,Card,2,42,Basic,199,1
4,12,UPI,0,26,Free,99,1
10,11,Wallet,0,6,Basic,199,0
24,6,Card,2,51,Free,99,1
17,9,Card,1,2,Free,199,0
10,14,Card,0,57,Free,99,1
17,8,Card,0,24,Basic,299,0
20,8,UPI,2,32,Basic,299,0
24,6,UPI,1,39,Free,99,0
5,8,UPI,1,16,Free,99,1
2,6,UPI,0,44,Basic,199,1
6,11,COD,2,13,Basic,99,0
21,5,UPI,1,36,Free,99,0
2,12,UPI,0,57,Free,99,1
13,9,Card,1,55,Premium,299,1
11,11,Card,1,53,Premium,299,0
11,6,UPI,1,22,Premium,199,0
16,9,Wallet,1,58,Premium,199,1
11,9,Wallet,1,23,Free,299,0
19,9,UPI,0,28,Free,299,0
15,9,UPI,0,37,Free,299,0
23,7,COD,0,58,Free,99,1
23,5,Wallet,1,53,Premium,99,1
16,2,Card,1,26,Basic,199,0
11,9,UPI,0,37,Basic,199,0
22,6,UPI,0,52,Free,99,0
16,7,Card,0,39,Premium,99,0
8,4,UPI,2,44,Premium,299,0
4,9,UPI,0,49,Free,299,1
8,8,Card,2,22,Premium,99,0
4,10,UPI,0,30,Free,299,0
24,9,Wallet,0,35,Free,199,0
3,9,Wallet,2,16,Basic,299,1
3,2,UPI,2,60,Basic,199,1
18,6,Wallet,0,36,Free,99,0
19,7,UPI,0,2,Free,199,0
19,7,Wallet,0,35,Premium,199,0
21,9,UPI,1,54,Basic,199,0
5,6,UPI,2,4,Basic,99,0
18,6,Card,1,45,Free,299,0
10,10,Card,2,14,Free,99,0
22,10,COD,1,51,Free,99,1
21,12,UPI,1,48,Free,199,0
6,8,UPI,1,5,Free,199,0
1,5,Card,2,58,Free,199,0
5,8,Card,1,9,Basic,199,1
9,8,UPI,0,53,Free,199,0
12,8,Card,0,31,Premium,199,0
14,14,Wallet,0,22,Free,199,0
2,2,Wallet,0,47,Basic,99,1
17,7,COD,2,16,Free,199,0
14,7,UPI,3,45,Basic,299,1
13,5,Wallet,0,19,Free,99,0
9,7,UPI,1,43,Premium,199,0
15,8,Card,0,40,Basic,299,0
22,8,Card,0,14,Basic,99,0
15,12,COD,0,43,Free,199,0
24,4,Wallet,0,45,Basic,299,0
11,6,COD,0,57,Basic,99,0
16,8,Wallet,1,21,Free,99,0
17,9,COD,1,49,Basic,299,0
4,6,Wallet,0,51,Premium,299,1
1,11,Card,0,5,Basic,199,0
8,6,UPI,0,3,Premium,199,0
17,9,UPI,0,57,Premium,299,1
3,12,UPI,0,22,Premium,199,1
20,7,Card,0,43,Basic,99,1
15,14,Card,1,44,Basic,99,0
15,6,Card,0,18,Basic,199,0
24,9,COD,0,53,Basic,299,1
22,8,COD,2,44,Premium,299,0
14,10,UPI,1,30,Free,299,0
23,9,UPI,0,43,Free,299,0
14,5,UPI,1,51,Free,199,0
24,7,UPI,2,2,Free,199,0
2,10,Wallet,0,27,Free,199,0
13,6,Card,1,2,Basic,199,0
14,7,Card,0,13,Free,199,0
24,8,Wallet,0,17,Basic,99,0
19,6,Wallet,2,26,Basic,299,0
7,5,UPI,0,50,Free,199,1
3,7,Wallet,2,60,Free,99,1
15,4,UPI,1,59,Basic,199,1
23,12,UPI,1,9,Basic,199,0
14,12,UPI,2,48,Premium,99,0
11,9,Card,1,14,Premium,299,0
15,7,UPI,0,18,Premium,99,0
13,5,UPI,0,8,Basic,99,0
18,5,Card,1,3,Premium,199,0
6,7,Wallet,1,14,Premium,199,0
3,6,UPI,1,50,Premium,299,1
19,7,UPI,0,47,Free,299,0
15,9,Wallet,2,7,Premium,299,0
23,8,UPI,0,48,Basic,99,0
5,6,COD,1,52,Basic,99,1
10,9,Card,3,0,Free,199,0
7,8,UPI,1,6,Free,99,0
17,5,UPI,0,52,Free,299,1
7,9,UPI,0,30,Free,199,0
22,6,UPI,0,17,Free,299,0
12,8,UPI,0,11,Premium,99,0
17,6,Card,0,47,Free,199,0
13,7,UPI,1,29,Free,199,0
20,8,Card,1,32,Free,99,0
4,5,Card,0,58,Basic,199,1
10,8,UPI,1,46,Free,199,0
3,5,UPI,2,6,Free,199,1
9,9,UPI,0,27,Basic,99,0
13,11,UPI,2,48,Basic,99,0
18,8,Wallet,1,2,Free,199,0
15,6,UPI,1,42,Free,99,0
4,11,Wallet,0,5,Free,99,1
15,7,UPI,2,30,Premium,99,0
22,10,Card,0,37,Free,99,0
2,8,Card,0,14,Basic,99,0
15,9,Wallet,0,6,Free,99,0
8,7,UPI,0,42,Basic,199,0
8,7,UPI,3,29,Free,199,1
17,12,Card,1,26,Free,199,0
12,3,UPI,1,16,Basic,299,0
19,6,UPI,1,54,Free,199,1
10,9,Card,2,17,Free,199,0
9,8,Card,1,21,Basic,299,0
5,8,Card,1,60,Premium,199,1
6,7,Card,0,55,Free,199,1
20,9,Wallet,0,60,Basic,199,0
2,11,Wallet,1,52,Premium,199,0
24,8,Card,1,25,Premium,199,0
13,7,Card,2,50,Basic,99,1
6,8,Wallet,0,26,Basic,99,0
5,15,UPI,1,39,Free,99,0
1,14,UPI,1,23,Basic,99,1
21,10,Wallet,2,51,Free,99,0
22,6,Card,0,7,Free,199,0
21,13,UPI,0,20,Basic,199,0
6,4,Wallet,2,28,Free,199,0
6,4,UPI,0,42,Basic,99,0
23,7,Wallet,0,20,Basic,299,0
16,10,Wallet,0,2,Basic,199,0
4,13,COD,0,30,Free,99,0
11,6,UPI,2,54,Free,299,0
24,10,Card,1,26,Basic,199,0
23,5,UPI,1,45,Premium,199,0
9,11,UPI,0,26,Free,99,0
23,6,UPI,2,8,Free,199,0
3,8,Card,2,56,Premium,299,1
19,4,Card,2,32,Free,199,1
8,8,UPI,1,32,Premium,199,0
5,9,Card,1,25,Basic,199,0
4,11,Wallet,0,27,Basic,299,0
24,8,Wallet,1,43,Free,99,0
6,8,COD,0,42,Free,199,1
2,9,UPI,0,30,Free,99,0
20,13,COD,0,52,Premium,199,0
11,10,Wallet,1,0,Basic,199,0
4,9,UPI,1,19,Basic,99,0
15,8,UPI,1,11,Basic,199,0
6,7,UPI,2,16,Free,199,0
22,12,UPI,1,14,Basic,99,0
17,2,Card,4,33,Basic,199,1
24,6,Card,0,49,Basic,99,0
6,6,Wallet,0,15,Free,199,0
19,6,Card,1,3,Basic,99,0
2,13,UPI,0,7,Premium,199,0
15,6,Wallet,1,33,Basic,199,0
11,6,UPI,0,45,Free,199,1
8,9,COD,1,24,Basic,99,0
19,8,UPI,1,14,Free,299,0
13,14,COD,1,27,Basic,199,0
12,6,UPI,0,8,Premium,99,0
5,4,UPI,2,1,Basic,299,1
6,9,UPI,0,16,Basic,99,0
22,7,Wallet,1,57,Basic,199,0
4,8,Wallet,2,9,Free,199,0
19,8,UPI,1,8,Free,199,0
20,10,COD,0,30,Premium,299,0
1,6,Card,1,1,Basic,199,1
20,4,Card,1,23,Free,99,0
17,10,Wallet,1,18,Free,299,0
12,10,UPI,0,16,Basic,299,0
